RBD;NOM_RBD;PACE;COD_COM_RBD
269;ESCUELA BASICA SAN PEDRO DE ATACAMA;0;2203
270;COMPLEJO EDUCACIONAL TOCONAO;0;2203
271;ESCUELA BASICA CAMAR;0;2203
273;ESCUELA BASICA SOLOR;0;2203
274;ESCUELA BASICA SAN ROQUE;0;2203
275;ESCUELA BASICA ANDINA;0;2203
276;ESCUELA BASICA TALABRE;0;2203
277;ESCUELA BASICA SAN BARTOLOME;0;2203
279;LICEO INDUSTRIAL EULOGIO GORDO MONEO;0;2101
280;LICEO COMERCIAL JERARDO MUNOZ CAMPOS;1;2101
282;LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL;0;2101
283;LICEO TECNICO ANTOFAGASTA;1;2101
284;LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA;1;2101
285;LICEO BICENTENARIO MARTA NAREA DIAZ;1;2101
286;LICEO LA PORTADA;1;2101
287;LICEO DOMINGO HERRERA RIVERA;0;2101
288;ESCUELA JAPON;0;2101
289;ESCUELA ESPANA;0;2101
291;ESCUELA PADRE GUSTAVO LE PAIGE DE WALQUE;0;2101
292;ESCUELA REPUBLICA DE ITALIA;0;2101
293;ESCUELA JOSE PAPIC RADNIC;0;2101
294;ESCUELA PROFESORA LJUBICA DOMIC WUTH;0;2101
296;ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS;0;2101
297;ESCUELA ALCALDE MAXIMILIANO POBLETE;0;2101
298;ESCUELA DARIO SALAS DIAZ;0;2101
299;ESCUELA GRECIA;0;2101
301;ESCUELA ROMULO J. PENA MATURANA;0;2101
302;ESCUELA JUAN LOPEZ;0;2101
303;ESCUELA REPUBLICA ARGENTINA;0;2101
304;LICEO BICENTENARIO ANDRÉS SABELLA;0;2101
305;ESCUELA HUMBERTO GONZALEZ ECHEGOYEN;0;2101
306;ESCUELA HUANCHACA;0;2101
307;ESCUELA DE PARVULOS MARCELA PAZ;0;2101
308;ESCUELA DE ADULTOS DR.ANTONIO RENDIC;0;2101
310;ESCUELA CLAUDIO MATTE PEREZ;0;2101
311;ESC DIFERENCIAL JUAN SANDOVAL CARRASCO;0;2101
312;ESCUELA ECUADOR;0;2101
313;ESCUELA ARTURO PRAT;0;2101
315;ESCUELA HEROES DE LA CONCEPCION;0;2101
316;ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA;0;2101
317;ESCUELA LAS ROCAS;0;2101
318;ESCUELA EDDA CUNEO DONNAGIO;0;2101
319;ESCUELA LA BANDERA;0;2101
320;LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO CARRERA GONZALEZ`;0;2101
321;ESCUELA BASICA SIMON BOLIVAR PALACIOS;0;2101
322;ESCUELA GENERAL MANUEL BAQUEDANO;0;2101
324;ESCUELA FUNDACION MINERA ESCONDIDA;0;2101
326;ESCUELA SANTIAGO AMENGUAL B.;0;2101
327;ESCUELA PEDRO AGUIRRE CERDA;0;2101
329;LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO;0;2101
330;ESCUELA DE PARVULOS LOS PINGUINITOS;0;2101
332;ESCUELA GABRIELA MISTRAL;0;2101
333;ESCUELA DE PARVULOS BLANCA NIEVES;0;2101
335;COLEGIO MISIONERO JOSE LANCASTER;0;2101
336;LICEO EXPERIMENTAL ARTISTICO-APLICACION;0;2101
337;COLEGIO SANTA TERESITA;0;2101
340;CENTRO TRATAMIEN.INTEGRAL RAYITO DE SOL;0;2101
341;COLEGIO ADVENTISTA DE ANTOFAGASTA;0;2101
342;COLEGIO INGLES SAN JOSE;0;2101
343;ESCUELA PRESBITERIANA;0;2101
344;COLEGIO SANTA EMILIA;0;2101
349;ESC. PARV. LAS ARDILLITAS 1;0;2101
350;COLEGIO LIDIA MORENO;0;2101
352;ESC. PARV. PAPELUCHO;0;2101
353;ESC. PARV. GRETCHEN;0;2101
354;COL. KID'S SCHOOL;0;2101
355;COLEGIO BINACIONAL CHILENO AMERICANO DE ANTOFAGASTA(EX INS. CHILENO NORTEAMERICANO CULTURA);0;2101
356;COLEGIO CORAZON DE MARIA;0;2101
357;COL. SAN LUIS;0;2101
358;INS. SANTA MARIA;0;2101
361;COL. THE ANTOFAGASTA BRITISH SCHOOL;0;2101
363;COL. GIANT;0;2101
364;COL. ANTOFAGASTA;0;2101
365;COLEGIO EAGLE SCHOOL;0;2101
366;HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA);0;2101
367;COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT;1;2102
368;ESCUELA BASICA JULIA HERRERA VARAS;0;2102
369;ESCUELA LUCILA GODOY ALCAYAGA;0;2102
370;ESCUELA ESTACION BAQUEDANO;0;2103
371;ESCUELA CARACOLES;0;2103
372;LICEO POLITECNICO JOSE MIGUEL QUIROZ;1;2104
373;LICEO JUAN CORTES-MONROY CORTES;0;2104
374;ESCUELA HOGAR VICTORIANO QUINTEROS SOTO;0;2104
375;ESCUELA VICTOR CARVAJAL MEZA;0;2104
377;ESCUELA PARANAL;0;2104
378;ESCUELA PARTICULAR BERNARDO O'HIGGINS;0;2104
379;LICEO FEDERICO VARELA;1;3201
380;ESCUELA BÁSICA DIEGO PORTALES PALAZUELOS;0;3201
381;ESCUELA BÁSICA PEDRO LUJAN;0;3201
382;ESCUELA GASPAR CABRALES, ARTÍSTICA Y DEPORTIVA;0;3201
383;ESCUELA BÁSICA DIFERENCIAL JOSÉ LUIS OLIVARES ARANCIBIA;0;3201
384;LICEO BICENTENARIO  MANUEL MAGALHAES MEDLING;1;3202
385;ESCUELA DE POTRERILLOS;0;3202
386;ESCUELA ALIRO LAMAS CASTILLO;0;3202
387;ESCUELA BÁSICA EMPERATRIZ SEPÚLVEDA LANDEROS;0;3202
388;COLEGIO MATILDE TRASLAVINA VILLALON;0;3202
389;ESCUELA ESPECIAL ROSITA AZUL;0;3202
390;ESCUELA COEDUCACIONAL PARTICULAR;0;3202
391;ESCUELA COEDUCACIONAL PARTICULAR OSCAR Y;0;3202
392;LICEO DIEGO DE ALMEIDA;0;3202
396;INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ;0;3101
397;LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO;0;3101
399;LICEO JOSÉ ANTONIO CARVAJAL;1;3101
400;LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY;0;3101
