Codigo comuna;Unidad territorial;poblacion;superficie;viviendas;Codigo region
9111;Nueva Imperial;32510;733;11906;9
9112;Padre Las Casas;76126;401;25665;9
9116;Saavedra;12450;401;5684;9
9110;Melipeuco;6138;1107;2658;9
9103;Cunco;17526;1907;7962;9
9105;Freire;24606;935;9386;9
9114;Pitrufquén;24837;581;10117;9
9117;Teodoro Schmidt;15045;650;6523;9
9107;Gorbea;14414;695;6267;9
9118;Toltén;9722;860;4204;9
9115;Pucón;28523;1249;17547;9
9120;Villarrica;55478;1291;28677;9
9104;Curarrehue;7489;1171;3356;9
9109;Loncoche;23612;977;9764;9
14106;Mariquina ;21278;1321;8683;14
14103;Lanco ;16752;532;6465;14
14108;Panguipulli ;34539;3292;17186;14
14105;Máfil ;7095;583;2706;14
14101;Valdivia ;166080;1016;59565;14
14104;Los Lagos ;19634;1791;7980;14
14102;Corral ;5302;767;2535;14
14107;Paillaco ;20188;896;7481;14
14202;Futrono ;14665;2121;6479;14
14201;La Unión ;38036;2137;15119;14
14203;Lago Ranco ;9896;1763;5236;14
14204;Río Bueno ;31372;2212;13453;14
10307;San Pablo;10030;637;4351;10
10301;Osorno;161460;951;58937;10
10306;San Juan De La Costa;7512;1517;5078;10
10304;Puyehue;11667;1598;5000;10
10305;Río Negro;14085;1266;5585;10
10303;Purranque;20369;1459;7873;10
10302;Puerto Octay;8999;1796;4174;10
10105;Frutillar;18428;831;7742;10
10104;Fresia;12261;1278;5169;10
10107;Llanquihue;17591;421;5980;10
10109;Puerto Varas;44578;4065;17083;10
10106;Los Muermos;17068;1246;7195;10
10101;Puerto Montt;245902;1673;89813;10
10108;Maullín;14216;861;6601;10
10103;Cochamó;4023;3911;2214;10
10102;Calbuco;33985;591;13386;10
10202;Ancud;38991;1752;17689;10
10403;Hualaihué;8944;2788;4493;10
10209;Quemchi;8352;440;3938;10
10205;Dalcahue;13762;1239;5881;10
10204;Curaco De Vélez;3829;80;1697;10
10210;Quinchao;8088;161;3522;10
10201;Castro;43807;473;17648;10
10206;Puqueldón;3921;97;1727;10
10203;Chonchi;14858;1362;6947;10
10207;Queilén;5385;333;2463;10
10401;Chaitén;5071;8471;2162;10
10208;Quellón;27192;3244;11051;10
10402;Futaleufú;2623;1280;1461;10
10404;Palena;1711;2764;970;10
11203;Guaitecas;1843;-1;688;11
11102;Lago Verde;852;-1;624;11
11202;Cisnes;6517;-1;2901;11
11201;Aysén;23959;-1;9782;11
11101;Coyhaique;57818;-1;23670;11
11402;Río Ibáñez;2666;-1;1819;11
11401;Chile Chico;4865;-1;2581;11
11301;Cochrane;3490;-1;1812;11
11303;Tortel;523;-1;350;11
11302;O’higgins;625;-1;375;11
12402;Torres Del Paine;1209;6630;371;12
12401;Natales;21477;49924;9544;12
12102;Laguna Blanca;274;3696;296;12
12104;San Gregorio;799;6884;435;12
12103;Río Verde;617;17248;229;12
12302;Primavera;1158;6530;570;12
12101;Punta Arenas;131592;17846;49481;12
12301;Porvenir;6801;9707;3144;12
12303;Timaukel;405;10759;219;12
12201;Cabo De Hornos;2063;21551;737;12
12202;Antártica;138;-1;25;12
